,0
799,84
800,631
801,381
802,260
803,425
804,451
805,33
806,571
807,900
808,608
809,212
810,801
811,325
812,353
813,971
814,266
815,560
816,493
817,307
818,661
819,769
820,933
821,313
822,172
823,270
824,629
825,558
826,913
827,761
828,148
829,666
830,639
831,845
832,947
833,595
834,466
835,895
836,191
837,692
838,556
839,282
840,577
841,902
842,355
843,873
844,241
845,216
846,501
847,814
848,698
849,807
850,229
851,279
852,755
853,853
854,615
855,364
856,363
857,77
858,894
859,533
860,304
861,111
862,339
863,584
864,603
865,369
866,243
867,519
868,996
869,788
870,317
871,557
872,411
873,405
874,676
875,204
876,926
877,295
878,728
879,687
880,340
881,356
882,969
883,259
884,244
885,412
886,173
887,200
888,24
889,236
890,232
891,795
892,42
893,180
894,846
895,472
896,89
897,59
898,36
899,435
900,147
901,509
902,366
903,809
904,839
905,299
906,536
907,776
908,163
909,668
910,936
911,463
912,599
913,39
914,385
915,998
916,32
917,162
918,63
919,591
920,820
921,473
922,904
923,766
924,18
925,903
926,505
927,248
928,682
929,905
930,583
931,640
932,555
933,625
934,407
935,514
936,109
937,985
938,530
939,883
940,806
941,935
942,400
943,650
944,321
945,880
946,288
947,305
948,498
949,215
950,176
951,970
952,249
953,787
954,984
955,341
956,964
957,198
958,532
959,71
960,403
961,423
962,384
963,681
964,136
965,99
966,424
967,512
968,725
969,75
970,683
971,553
972,705
973,44
974,649
975,679
976,118
977,333
978,422
979,881
980,618
981,29
982,508
983,273
984,991
985,872
986,478
987,413
988,798
989,93
990,117
991,745
992,727
993,74
994,460
995,91
996,290
997,346
998,318
999,865
1000,0
